raw_source,standard_source
"Altimonde Voyages SAS",altimonde_voyages
"Aspera Explorations Travel Agency Ltd",aspera_explorations
"Butterfield & Robinson",butterfield_robinson
"Cercle des Vacances - Agence de Voyages et S.A.S",cercle_des_vacances
"Doc DMC - Services, Events & Wine",doc_dmc
"Embark - Beyond Travel",embark
"Excelência de Portugal",excelencia_portugal
"Go Diferente",go_diferente
"Handmade Vacations",handmade_vacations
"In Lounge Luxury Destination Travel Consulting",in_lounge_luxury
"Landescape Walks",landescape_walks
"Made For Spain And Portugal",made_for_spain_portugal
"Magic Portugal Unipessoal Lda.",magic_portugal
"Moah Destinos Exclusivos",moah
"Off The Beaten Track Portugal - Consultoria e Organização de Viagens e Eventos, Unipessoal, Lda.",off_the_beaten_track
"Open Viagens e Turismo Lda",open_viagens
"Pura Aventura",pura_aventura
"Selections Operadora Turismo Ltda - EPP",selections_operadora
"Tours For You - Passeios Turísticos, Unip. Lda",tours_for_you
"Turistrader, Sociedade de Desenvolvimento Turístico, Lda.",turistrader
"Vanguartour, Travel & Events, Lda.",vanguartour
"Viajan",viajan
"Voyage Privé France",voyage_prive
"Voyage Privé IT",voyage_prive
"Voyage Privé UK Ltd",voyage_prive
"Welcomebeds/Globália",welcomebeds
"WebBeds FZ-LLC",webbeds
"Guestcentric",guestcentric
"Guestcentric - IBE",guestcentric
"Booking",booking
"Booking.com",booking
"BookingNR",booking
"Expedia",expedia
"Airbnb",airbnb
"Airbnb Payments UK Ltd.",airbnb
"VRBO",vrbo
"Hostelworld",hostelworld
"HRS",hrs
"HRS - Hotel Reservation Service",hrs
"Sabre",sabre
"SYNXIS",synxis
"Hotelbeds",hotelbeds
"WebBeds FZ-LLC",webbeds
"Welcomebeds/Globália",welcomebeds
"Small Luxury Hotels of the World Management Ltd",slh
"SLH Bonus Rate",slh
"SLH Club Rate",slh
"SLH WithIN",slh
"SLH WithIN NET Rate",slh
"SLH Travel Industry Rate",slh
"SLH Suite Offer – 20%",slh
"SLH Last Minute Rate",slh
"SLH Simple Pleasures - 2nts",slh
"Hilton",hilton
"Hilton Domestic Oper. Co. Inc.",hilton
"Hyatt Hotels Corporation",hyatt
"World of Hyatt 10% OFF",hyatt
"World of Hyatt 20% off suites",hyatt
"World of Hyatt 2NTS",hyatt
"World of Hyatt Best Available Rate",hyatt
"World of Hyatt Free Night Promotion",hyatt
"World of Hyatt Free Night Rate",hyatt
"Capital One Lifestyle Hotel Collection",capital_one_travel
"Hopper (USA), Inc.",hopper
"Prestigia",prestigia
"Splendia",splendia
"VeryChic SAS",verychic
"VERYCHIC S.A.S.",verychic
"Olimar",olimar
"Synxis",synxis
"Hotelbeds",hotelbeds
"WebBeds",webbeds
"Guestcentric - Website",website
"Website",website
"Agência por Website",website
"Booking Early 45 Days",booking
"Website Tarifa Promocional",website
"Website Special",website
"Website NRF 5D RLS",website
"Website Early Booking 45D RLS",website
"Website Min Stay 4N NRF",website
"Website Tarifa 1 semana",website
"Oferta especial website",website
"WEBSITE Tarifa Promocional",website
"WEBSITE SPECIAL",website
"Top Partner - Viagens & Soluções Empresariais, S.A.",top_partner
"American Express Global Business Travel",amex_gbt
"BCD Travel",bcd_travel
"Altour",altour
"ATPI Hamburg GmbH",atpi
"Brickell Travel Management",brickell_travel
"Cadence Travel, Inc.",cadence_travel
"Corporate Travel Management",ctm
"First In Service",first_in_service
"First In Service Travel",first_in_service
"Protravel International LLC",protravel
"Protravel International LDT",protravel
"The SmartFlyer Inc",smartflyer
"Travel Edge",travel_edge
"Travel Experts Inc",travel_experts
"Venturion Private Club",venturion
"Microsoft Lda",microsoft
"OutSystems Portugal",outsystems
"Unbabel, Lda.",unbabel
"Ekimetrics UK Ltd",ekimetrics
"Ideastation - Soluções Informáticas, Lda",ideastation
"Glotera, UAB",glotera
"Navigator Added Value, SA",navigator_group
"The Navigator Company",navigator_group
"Navgt Pulp Cacia, SA",navigator_group
"Dawn Foods B. V.",dawn_foods
"Dohler España",dohler
"Makro Cash & Carry Portugal SA",makro
